datetime,price
2023-01-01,12.897
2023-01-02,9.377
2023-01-03,16.351
2023-01-04,4.809
2023-01-05,11.922
2023-01-06,10.243
2023-01-07,8.725
2023-01-08,11.39
2023-01-09,15.189
2023-01-10,14.176
2023-01-11,11.294
2023-01-12,11.161
2023-01-13,15.206
2023-01-14,11.13
2023-01-15,13.154
2023-01-16,12.433
2023-01-17,15.741
2023-01-18,16.88
2023-01-19,17.17
2023-01-20,15.607
2023-01-21,15.645
2023-01-22,13.612
2023-01-23,14.513
2023-01-24,14.288
2023-01-25,17.876
2023-01-26,16.623
2023-01-27,15.702
2023-01-28,15.092
2023-01-29,8.879
2023-01-30,14.767
2023-01-31,15.069
2023-02-01,13.819
2023-02-02,13.724
2023-02-03,14.22
2023-02-04,12.023
2023-02-05,12.762
2023-02-06,16.747
2023-02-07,16.616
2023-02-08,14.892
2023-02-09,14.581
2023-02-10,13.781
2023-02-11,16.418
2023-02-12,15.2
2023-02-13,14.694
2023-02-14,18.143
2023-02-15,14.324
2023-02-16,11.155
2023-02-17,10.072
2023-02-18,10.868
2023-02-19,10.321
2023-02-20,9.83
2023-02-21,14.545
2023-02-22,13.286
2023-02-23,12.79
2023-02-24,12.885
2023-02-25,13.767
2023-02-26,11.828
2023-02-27,15.58
2023-02-28,12.629
2023-03-01,12.185
2023-03-02,13.104
2023-03-03,17.452
2023-03-04,16.007
2023-03-05,14.946
2023-03-06,14.15
2023-03-07,23.818
2023-03-08,15.485
2023-03-09,15.777
2023-03-10,13.687
2023-03-11,13.007
2023-03-12,11.391
2023-03-13,10.414
2023-03-14,17.933
2023-03-15,13.362
2023-03-16,12.201
2023-03-17,14.325
2023-03-18,10.515
2023-03-19,11.814
2023-03-20,16.33
2023-03-21,9.804
2023-03-22,8.717
2023-03-23,8.843
2023-03-24,2.043
2023-03-25,6.52
2023-03-26,13.236
2023-03-27,9.054
2023-03-28,13.094
2023-03-29,12.518
2023-03-30,10.929
2023-03-31,11.181
2023-04-01,11.371
2023-04-02,13.997
2023-04-03,10.7
2023-04-04,10.089
2023-04-05,10.117
2023-04-06,9.231
2023-04-07,8.677
2023-04-08,11.058
2023-04-09,6.081
2023-04-10,-0.934
2023-04-11,7.632
2023-04-12,10.314
2023-04-13,10.19
2023-04-14,10.113
2023-04-15,9.79
2023-04-16,11.475
2023-04-17,14.234
